"No.","Time","Source","Destination","Protocol","Length","Info"
"1223","9.591582392","192.168.126.128","10.136.28.34","TCP","54","58096  >  843 [FIN] Seq=1 Win=1024 Len=0"
"1224","9.591692589","192.168.126.128","10.136.28.34","TCP","54","58096  >  5280 [FIN] Seq=1 Win=1024 Len=0"
"1225","9.591802395","192.168.126.128","10.136.28.34","TCP","54","58096  >  1045 [FIN] Seq=1 Win=1024 Len=0"
"1226","9.594206363","192.168.126.128","10.136.28.34","TCP","54","58096  >  301 [FIN] Seq=1 Win=1024 Len=0"
"1227","9.594334984","192.168.126.128","10.136.28.34","TCP","54","58096  >  1119 [FIN] Seq=1 Win=1024 Len=0"
"1228","9.594451112","192.168.126.128","10.136.28.34","TCP","54","58096  >  1062 [FIN] Seq=1 Win=1024 Len=0"
"1229","9.597617390","192.168.126.128","10.136.28.34","TCP","54","58095  >  9099 [FIN] Seq=1 Win=1024 Len=0"
"1230","9.597771419","192.168.126.128","10.136.28.34","TCP","54","58095  >  5915 [FIN] Seq=1 Win=1024 Len=0"
"1231","9.597879031","192.168.126.128","10.136.28.34","TCP","54","58095  >  1198 [FIN] Seq=1 Win=1024 Len=0"
"1232","9.600247332","192.168.126.128","10.136.28.34","TCP","54","58096  >  32777 [FIN] Seq=1 Win=1024 Len=0"
"1233","9.600384038","192.168.126.128","10.136.28.34","TCP","54","58095  >  705 [FIN] Seq=1 Win=1024 Len=0"
"1234","9.600510966","192.168.126.128","10.136.28.34","TCP","54","58095  >  4242 [FIN] Seq=1 Win=1024 Len=0"
"1235","9.600780903","192.168.126.128","10.136.28.34","TCP","54","58095  >  465 [FIN] Seq=1 Win=1024 Len=0"
"1236","9.603549174","192.168.126.128","10.136.28.34","TCP","54","58095  >  3390 [FIN] Seq=1 Win=1024 Len=0"
"1237","9.603669530","192.168.126.128","10.136.28.34","TCP","54","58095  >  9666 [FIN] Seq=1 Win=1024 Len=0"
"1238","9.607027602","192.168.126.128","10.136.28.34","TCP","54","58096  >  40193 [FIN] Seq=1 Win=1024 Len=0"
"1239","9.607390502","192.168.126.128","10.136.28.34","TCP","54","58095  >  5963 [FIN] Seq=1 Win=1024 Len=0"
