"No.","Time","Source","Destination","Protocol","Length","Info"
"1982","84.380608512","192.168.126.128","10.136.28.34","UDP","42","33743  >  19315 Len=0"
"1983","84.380636064","192.168.126.128","10.136.28.34","UDP","42","33743  >  1087 Len=0"
"1984","84.380662544","192.168.126.128","10.136.28.34","UDP","42","33743  >  683 Len=0"
"1985","84.380688643","192.168.126.128","10.136.28.34","UDP","42","33743  >  28465 Len=0"
"1986","84.380714422","192.168.126.128","10.136.28.34","UDP","42","33743  >  17573 Len=0"
"1987","84.380752474","192.168.126.128","10.136.28.34","UDP","42","33743  >  63420 Len=0"
"1988","84.380778824","192.168.126.128","10.136.28.34","UDP","42","33743  >  20752 Len=0"
"1989","84.380805424","192.168.126.128","10.136.28.34","UDP","42","33743  >  120 Len=0"
"1990","84.380831643","192.168.126.128","10.136.28.34","UDP","42","33743  >  19605 Len=0"
"1991","84.383567827","192.168.126.128","10.136.28.34","UDP","42","33743  >  19283 Len=0"
"1992","84.383619084","192.168.126.128","10.136.28.34","UDP","42","33743  >  16829 Len=0"
"1993","84.383646405","192.168.126.128","10.136.28.34","UDP","42","33743  >  6002 Len=0"
"1994","84.383673917","192.168.126.128","10.136.28.34","UDP","42","33743  >  34079 Len=0"
"1995","84.383711719","192.168.126.128","10.136.28.34","UDP","42","33743  >  49503 Len=0"
"1996","84.383738108","192.168.126.128","10.136.28.34","UDP","42","33743  >  34579 Len=0"
"1997","84.383764428","192.168.126.128","10.136.28.34","UDP","42","33743  >  39213 Len=0"
"1998","84.383792521","192.168.126.128","10.136.28.34","UDP","42","33743  >  18980 Len=0"
"1999","84.383818881","192.168.126.128","10.136.28.34","UDP","42","33743  >  17302 Len=0"
"2000","84.383846793","192.168.126.128","10.136.28.34","UDP","42","33743  >  64080 Len=0"
"2001","84.383874446","192.168.126.128","10.136.28.34","UDP","42","33743  >  22045 Len=0"
"2002","84.383903821","192.168.126.128","10.136.28.34","UDP","42","33743  >  8193 Len=0"
"2003","84.383934800","192.168.126.128","10.136.28.34","RIPv1","66","Request"
"2004","84.383971960","192.168.126.128","10.136.28.34","UDP","42","33743  >  2048 Len=0"
"2005","84.383998299","192.168.126.128","10.136.28.34","UDP","42","33743  >  49202 Len=0"
"2006","84.384024439","192.168.126.128","10.136.28.34","UDP","42","33743  >  19995 Len=0"
"2007","84.384052191","192.168.126.128","10.136.28.34","XDMCP","49","Query"
"2008","84.384078871","192.168.126.128","10.136.28.34","UDP","42","33743  >  62958 Len=0"
"2009","84.384105261","192.168.126.128","10.136.28.34","UDP","42","33743  >  3401 Len=0"
"2010","84.384135388","192.168.126.128","10.136.28.34","UDP","42","33743  >  19227 Len=0"
"2011","84.384168320","192.168.126.128","10.136.28.34","UDP","42","33743  >  18807 Len=0"
"2012","84.384194900","192.168.126.128","10.136.28.34","UDP","42","33743  >  21655 Len=0"
"2013","84.384224276","192.168.126.128","10.136.28.34","UDP","42","33743  >  21868 Len=0"
"2014","84.384253160","192.168.126.128","10.136.28.34","UDP","42","33743  >  59846 Len=0"
"2015","84.384279350","192.168.126.128","10.136.28.34","UDP","42","33743  >  16433 Len=0"
"2016","84.477033926","192.168.126.128","10.136.28.34","UDP","42","33742  >  21282 Len=0"
"2017","84.477123976","192.168.126.128","10.136.28.34","UDP","42","33742  >  26407 Len=0"
"2018","84.477181094","192.168.126.128","10.136.28.34","UDP","42","33742  >  1068 Len=0"
"2019","84.477237470","192.168.126.128","10.136.28.34","UDP","42","33742  >  43686 Len=0"
"2020","84.477293867","192.168.126.128","10.136.28.34","UDP","42","33742  >  16832 Len=0"
"2021","84.477350143","192.168.126.128","10.136.28.34","UDP","42","33742  >  21780 Len=0"
"2022","84.477393164","192.168.126.128","10.136.28.34","UDP","42","33742  >  49154 Len=0"
"2023","84.480964784","192.168.126.128","10.136.28.34","UDP","42","33742  >  28543 Len=0"
"2024","84.481050396","192.168.126.128","10.136.28.34","UDP","42","33742  >  25003 Len=0"
"2025","84.481077407","192.168.126.128","10.136.28.34","UDP","42","33742  >  20082 Len=0"
"2026","84.481104728","192.168.126.128","10.136.28.34","UDP","42","33742  >  49178 Len=0"
"2027","84.481134073","192.168.126.128","10.136.28.34","UDP","42","33742  >  199 Len=0"
"2028","84.481161014","192.168.126.128","10.136.28.34","UDP","42","33742  >  19600 Len=0"
"2029","84.481187294","192.168.126.128","10.136.28.34","UDP","42","33742  >  20465 Len=0"
"2030","84.481214245","192.168.126.128","10.136.28.34","UDP","42","33742  >  3343 Len=0"
"2031","84.481240494","192.168.126.128","10.136.28.34","UDP","42","33742  >  38498 Len=0"
"2032","84.481271042","192.168.126.128","10.136.28.34","UDP","42","33742  >  38412 Len=0"
"2033","84.481298013","192.168.126.128","10.136.28.34","UDP","42","33742  >  16766 Len=0"
"2034","84.481324493","192.168.126.128","10.136.28.34","UDP","42","33742  >  43824 Len=0"
"2035","84.481350452","192.168.126.128","10.136.28.34","UDP","42","33742  >  17282 Len=0"
"2036","84.481378725","192.168.126.128","10.136.28.34","UDP","42","33742  >  838 Len=0"
"2037","84.481411076","192.168.126.128","10.136.28.34","UDP","42","33742  >  800 Len=0"
"2038","84.481445311","192.168.126.128","10.136.28.34","UDP","42","33742  >  20146 Len=0"
"2039","84.481483333","192.168.126.128","10.136.28.34","UDP","42","33742  >  23 Len=0"
"2040","84.484110314","192.168.126.128","10.136.28.34","UDP","42","33742  >  6346 Len=0"
"2041","84.484169747","192.168.126.128","10.136.28.34","UDP","42","33742  >  34555 Len=0"
"2042","84.484199152","192.168.126.128","10.136.28.34","UDP","42","33742  >  16816 Len=0"
"2043","84.484226584","192.168.126.128","10.136.28.34","UDP","42","33742  >  3659 Len=0"
"2044","84.484252603","192.168.126.128","10.136.28.34","UDP","42","33742  >  17888 Len=0"
"2045","84.484279323","192.168.126.128","10.136.28.34","UDP","42","33742  >  16972 Len=0"
"2046","84.484305874","192.168.126.128","10.136.28.34","UDP","42","33742  >  21800 Len=0"
"2047","84.484334748","192.168.126.128","10.136.28.34","UDP","42","33742  >  445 Len=0"
"2048","84.484361258","192.168.126.128","10.136.28.34","UDP","42","33742  >  1718 Len=0"
"2049","84.484387087","192.168.126.128","10.136.28.34","UDP","42","33742  >  19140 Len=0"
"2050","84.484413116","192.168.126.128","10.136.28.34","UDP","42","33742  >  19616 Len=0"
"2051","84.484440057","192.168.126.128","10.136.28.34","UDP","42","33742  >  2002 Len=0"
"2052","84.484469362","192.168.126.128","10.136.28.34","UDP","42","33742  >  9001 Len=0"
"2053","84.484496974","192.168.126.128","10.136.28.34","UDP","42","33742  >  49176 Len=0"
"2054","84.484524927","192.168.126.128","10.136.28.34","UDP","42","33742  >  6001 Len=0"
"2055","84.484551096","192.168.126.128","10.136.28.34","UDP","42","33742  >  22109 Len=0"
"2056","84.484577546","192.168.126.128","10.136.28.34","UDP","42","33742  >  1030 Len=0"
"2057","84.487344894","192.168.126.128","10.136.28.34","UDP","42","33742  >  20423 Len=0"
"2058","84.487407923","192.168.126.128","10.136.28.34","UDP","42","33742  >  17459 Len=0"
"2059","84.487436567","192.168.126.128","10.136.28.34","UDP","42","33742  >  32345 Len=0"
"2060","84.487463017","192.168.126.128","10.136.28.34","UDP","42","33742  >  31731 Len=0"
"2061","84.487488926","192.168.126.128","10.136.28.34","UDP","42","33742  >  32768 Len=0"
"2062","84.487514454","192.168.126.128","10.136.28.34","UDP","42","33742  >  21303 Len=0"
"2063","84.487540313","192.168.126.128","10.136.28.34","UDP","42","33742  >  31189 Len=0"
"2064","84.487566041","192.168.126.128","10.136.28.34","UDP","42","33742  >  37843 Len=0"
"2065","84.577555793","192.168.126.128","10.136.28.34","UDP","42","33743  >  49154 Len=0"
"2066","84.577653136","192.168.126.128","10.136.28.34","UDP","42","33743  >  21780 Len=0"
"2067","84.577712528","192.168.126.128","10.136.28.34","UDP","42","33743  >  16832 Len=0"
"2068","84.577771760","192.168.126.128","10.136.28.34","UDP","42","33743  >  43686 Len=0"
"2069","84.577828748","192.168.126.128","10.136.28.34","UDP","42","33743  >  1068 Len=0"
"2070","84.577884813","192.168.126.128","10.136.28.34","UDP","42","33743  >  26407 Len=0"
"2071","84.577942883","192.168.126.128","10.136.28.34","UDP","42","33743  >  21282 Len=0"
"2072","84.581403524","192.168.126.128","10.136.28.34","UDP","42","33743  >  43824 Len=0"
"2073","84.581461223","192.168.126.128","10.136.28.34","UDP","42","33743  >  16766 Len=0"
"2074","84.581488714","192.168.126.128","10.136.28.34","UDP","42","33743  >  38412 Len=0"
"2075","84.581515024","192.168.126.128","10.136.28.34","UDP","42","33743  >  38498 Len=0"
