"No.","Time","Source","Destination","Protocol","Length","Info"
"173","3.191303562","192.168.126.128","192.168.18.7","TCP","74","52622  >  3306 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068606 TSecr=0 WS=128"
"174","3.191347385","192.168.126.128","192.168.18.7","TCP","74","35038  >  135 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068606 TSecr=0 WS=128"
"175","3.191391477","192.168.126.128","192.168.18.7","TCP","74","41670  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068606 TSecr=0 WS=128"
"176","3.191489121","192.168.126.128","192.168.18.7","TCP","74","42996  >  6112 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068606 TSecr=0 WS=128"
"177","3.191538013","192.168.126.128","192.168.18.7","TCP","74","53674  >  5633 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068606 TSecr=0 WS=128"
"178","3.191582536","192.168.126.128","192.168.18.7","TCP","74","57666  >  1105 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068606 TSecr=0 WS=128"
"179","3.191625327","192.168.126.128","192.168.18.7","TCP","74","53260  >  10243 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068606 TSecr=0 WS=128"
"180","3.191668408","192.168.126.128","192.168.18.7","TCP","74","38096  >  4126 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068606 TSecr=0 WS=128"
"181","3.191713302","192.168.126.128","192.168.18.7","TCP","74","33136  >  179 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068606 TSecr=0 WS=128"
"182","3.191756854","192.168.126.128","192.168.18.7","TCP","74","34308  >  113 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068607 TSecr=0 WS=128"
"183","3.191803722","192.168.126.128","192.168.18.7","TCP","74","55472  >  587 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068607 TSecr=0 WS=128"
"184","3.191877911","192.168.126.128","192.168.18.7","TCP","74","37946  >  3800 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068607 TSecr=0 WS=128"
"185","3.191921012","192.168.126.128","192.168.18.7","TCP","74","40784  >  3269 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068607 TSecr=0 WS=128"
"186","3.191963412","192.168.126.128","192.168.18.7","TCP","74","53038  >  1060 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068607 TSecr=0 WS=128"
"187","3.192008506","192.168.126.128","192.168.18.7","TCP","74","33318  >  1455 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068607 TSecr=0 WS=128"
"188","3.192083116","192.168.126.128","192.168.18.7","TCP","74","33320  >  18988 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068607 TSecr=0 WS=128"
"189","3.192144301","192.168.126.128","192.168.18.7","TCP","74","39948  >  2003 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068607 TSecr=0 WS=128"
"190","3.192335019","192.168.126.128","192.168.18.7","TCP","74","53720  >  2007 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068607 TSecr=0 WS=128"
"191","3.192395243","192.168.126.128","192.168.18.7","TCP","74","60918  >  17988 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068607 TSecr=0 WS=128"
"192","3.192479801","192.168.126.128","192.168.18.7","TCP","74","49978  >  1805 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068607 TSecr=0 WS=128"
"193","3.192524054","192.168.126.128","192.168.18.7","TCP","74","54914  >  6004 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068607 TSecr=0 WS=128"
"194","3.192567185","192.168.126.128","192.168.18.7","TCP","74","53370  >  49400 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068607 TSecr=0 WS=128"
"195","3.192612641","192.168.126.128","192.168.18.7","TCP","74","38748  >  1719 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068607 TSecr=0 WS=128"
"196","3.192655581","192.168.126.128","192.168.18.7","TCP","74","58072  >  3493 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068607 TSecr=0 WS=128"
"197","3.192741623","192.168.126.128","192.168.18.7","TCP","74","34642  >  2718 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068608 TSecr=0 WS=128"
"198","3.192786237","192.168.126.128","192.168.18.7","TCP","74","38730  >  5815 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068608 TSecr=0 WS=128"
"199","3.192829588","192.168.126.128","192.168.18.7","TCP","74","58394  >  5904 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068608 TSecr=0 WS=128"
"200","3.192875134","192.168.126.128","192.168.18.7","TCP","74","33556  >  19801 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068608 TSecr=0 WS=128"
"201","3.192920168","192.168.126.128","192.168.18.7","TCP","74","37566  >  2190 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068608 TSecr=0 WS=128"
"202","3.192963319","192.168.126.128","192.168.18.7","TCP","74","57582  >  2105 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068608 TSecr=0 WS=128"
"203","3.193027941","192.168.126.128","192.168.18.7","TCP","74","41064  >  306 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068608 TSecr=0 WS=128"
"204","3.288943003","192.168.126.128","192.168.18.7","TCP","74","54904  >  5440 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068704 TSecr=0 WS=128"
"205","3.289129403","192.168.126.128","192.168.18.7","TCP","74","43666  >  9485 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068704 TSecr=0 WS=128"
"206","3.289228920","192.168.126.128","192.168.18.7","TCP","74","57870  >  458 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068704 TSecr=0 WS=128"
